key,zh_CN,en
trait.ht002.desc,"Cast this hex immediately when it is rolled face up. If countdown also reaches zero from the same roll, this hex only resolves once.","Cast this hex immediately when it is rolled face up. If countdown also reaches zero from the same roll, this hex only resolves once."
ui.main_menu.title,Dicer,Dicer
ui.select_initial_friend.title,选择初始伙伴,Select Initial Friend
ui.room.good_stuff,好东西!,Good Stuff!
ui.player_info.friends_count,伙伴数量：{count},Friends: {count}
ui.player_info.equipments_count,装备数量：{count},Equipments: {count}
ui.player_info.hexes_count,咒术数量：{count},Hexes: {count}
ui.player_info.gold_count,金币：{count},Gold: {count}
ui.player_info.character_level,{name} Lv.{level},{name} Lv.{level}
ui.player_info.hp,生命,HP
ui.player_info.exp,经验,EXP
ui.player_info.no_run_data,没有可用的局内数据。,No run data.
ui.player_info.tasks_summary,任务总览：可接 {offers} / 进行中 {active} / 待提交 {pending} / 已完成 {completed} / 已失败 {failed},Tasks: offers {offers} / active {active} / pending {pending} / completed {completed} / failed {failed}
ui.player_info.pending_submit,待提交任务,Pending Submission
ui.player_info.pending_reward,{name}：可领取 {gold} 金币,{name}: claim {gold} gold
ui.player_info.no_active_tasks,当前没有进行中的任务。,No active tasks.
ui.player_info.active_tasks,进行中的任务,Active Tasks
ui.player_info.bullet_name,• {name},• {name}
ui.player_info.task_progress,{label}：{current}/{target},{label}: {current}/{target}
ui.player_info.completed_none,当前没有已完成任务。,No completed tasks.
ui.player_info.completed_tasks,已完成任务,Completed Tasks
ui.player_info.no_hexes,当前没有咒术。,No hexes.
ui.player_info.no_equipments,当前没有装备。,No equipments.
ui.player_info.equipment_stats,攻击 +{attack} / 防御 +{defense},ATK +{attack} / DEF +{defense}
ui.player_info.no_items,当前没有物品。,No items.
ui.player_info.item_type,类型：{type},Type: {type}
ui.player_info.no_trait_description,暂无词条说明。,No trait description.
ui.player_info.hex_effects,效果数：{count},Effects: {count}
ui.player_info.hex_targets,目标数：{count},Targets: {count}
ui.player_info.hex_slots,槽位上限：{count},Slot limit: {count}
ui.player_info.item_uses,使用次数：{current}/{max},Uses: {current}/{max}
ui.player_info.item_charge,充能：{current}/{max},Charge: {current}/{max}
ui.player_info.item_type_passive,被动,Passive
ui.player_info.item_type_active,主动,Active
ui.player_info.item_type_consumable,消耗品,Consumable
ui.player_info.item_type_unknown,未知,Unknown
ui.battle.choose_target,请选择目标。,Choose a target.
ui.battle.escape_available,{name} 正在试图逃跑！,{name} is trying to escape!
ui.battle.enemy_escaped,{name} 已逃跑！,{name} has escaped!
ui.battle_statuses.title,战斗状态,Battle Statuses
ui.battle_statuses.tab_characters,我方角色,Allied Characters
ui.battle_statuses.tab_equipments,我方装备,Allied Equipments
ui.battle_statuses.tab_hexes,我方法术,Allied Hexes
ui.battle_statuses.tab_enemy_characters,敌方角色,Enemy Characters
ui.battle_statuses.tab_enemy_equipments,敌方装备,Enemy Equipments
ui.battle_statuses.tab_enemy_hexes,敌方法术,Enemy Hexes
ui.battle_statuses.empty_characters,当前没有我方角色状态可显示。,No allied character statuses to display.
ui.battle_statuses.empty_equipments,当前没有我方装备状态可显示。,No allied equipment statuses to display.
ui.battle_statuses.empty_hexes,当前没有我方法术状态可显示。,No allied hex statuses to display.
ui.battle_statuses.empty_enemy_characters,当前没有敌方角色状态可显示。,No enemy character statuses to display.
ui.battle_statuses.empty_enemy_equipments,当前没有敌方装备状态可显示。,No enemy equipment statuses to display.
ui.battle_statuses.empty_enemy_hexes,当前没有敌方法术状态可显示。,No enemy hex statuses to display.
ui.battle_statuses.entity_face,第 {slot} 面：{name},Face {slot}: {name}
ui.battle_statuses.no_status,当前没有状态。,No active statuses.
ui.battle_statuses.remaining_infinite,无限,Infinite
ui.battle_statuses.status_line,{name} x{stacks}，剩余：{remaining},"{name} x{stacks}, Remaining: {remaining}"
ui.battle_result.current_gold,当前金币：{gold},Current Gold: {gold}
ui.battle_result.defeat,失败,Defeat
ui.battle_result.equipment,获得装备,Gain Equipment
ui.battle_result.gold,获得金币,Gain Gold
ui.battle_result.gold_reward,获得 {gold} 金币,Gain {gold} Gold
ui.battle_result.hex,获得咒术,Gain Hex
ui.battle_result.item,获得物品,Gain Item
ui.battle_result.restart_test,重新测试,Restart Test
ui.battle_result.victory,胜利,Victory
ui.common.back_to_menu,返回主菜单,Back to Menu
ui.common.close,关闭,Close
ui.common.continue,继续,Continue
ui.common.exit_game,退出游戏,Exit Game
ui.confirm_switch.prompt,确认替换？,Confirm replacement?
ui.frontdesk.choose_spell,选择法术,Choose Spell
ui.frontdesk.choose_weapon,选择武器,Choose Weapon
ui.frontdesk.recruit_friend,招募伙伴,Recruit Friend
ui.frontdesk.title,前台,Frontdesk
ui.hr.candidate_format,{name} 生命 {health} 倒计时 {countdown} 招募价 {cost},{name} HP {health} Countdown {countdown} Cost {cost}
ui.hr.claim_reward,领取奖励,Claim Reward
ui.hr.recruit_button_short,招募,Recruit
ui.hr.status_format,{name}（{status}）,{name} ({status})
ui.hr.tasks,任务,Tasks
ui.hr_task.active_progress,{quest_name}：{progress},{quest_name}: {progress}
ui.hr_task.claim,领取任务,Claim Task
ui.hr_task.claim_failed,领取任务失败：{quest_id},Failed to claim task: {quest_id}
ui.hr_task.claimed_body,已领取任务：{quest_name},Claimed task: {quest_name}
ui.hr_task.claimed_title,领取成功,Claimed
ui.hr_task.in_progress,进行中,In Progress
ui.hr_task.no_available_tasks,当前没有可领取任务。,No available tasks.
ui.hr_task.no_completed_task,当前没有可提交任务。,No completed task to submit.
ui.hr_task.no_run_data,没有可用的局内数据。,No run data.
ui.hr_task.progress_entry,{key}：{current}/{target},{key}: {current}/{target}
ui.hr_task.progress_separator,/,/
ui.hr_task.reward_claimed_body,{quest_name} 奖励已领取：{gold} 金币,{quest_name} reward claimed: {gold} gold
ui.hr_task.reward_claimed_title,奖励已领取,Reward Claimed
ui.hr_task.submit,提交任务,Submit Task
ui.hr_task.submitted_body,已提交任务：{quest_name},Submitted task: {quest_name}
ui.hr_task.submitted_title,提交成功,Submitted
ui.hr_task.summary,可接 {offers} / 进行中 {active} / 可领奖 {claimable} / 下个任务 {next_offer} / 当前 {current_task},Offers {offers} / Active {active} / Claimable {claimable} / Next {next_offer} / Current {current_task}
ui.hr_task.title,任务中心,Task Center
ui.pantry_forge.choose_equipment,选择一件装备进行锻造。,Choose equipment to forge.
ui.pantry_forge.choose_variant,为 {name} 选择一个变体。,Choose a variant for {name}.
ui.pantry_forge.equipment,装备,Equipment
ui.pantry_forge.no_forgeable_equipment,当前没有可锻造装备。,No forgeable equipment.
ui.pantry_forge.no_variants,没有可用变体。,No variants available.
ui.pantry_forge.points,锻造点：{count},Forge Points: {count}
ui.pantry_forge.points_label,锻造点,Forge Points
ui.pantry_forge.title,锻造,Forge
ui.pantry_forge.variants,可选变体,Variants
ui.pantry_rest.choose_character,选择一名角色休息。,Choose a character to rest.
ui.pantry_rest.no_characters,当前没有可休息角色。,No characters available.
ui.pantry_rest.title,休息,Rest
ui.pantry_spell_reforge.hint,选择一个法术进行重铸。,Choose a spell to reforge.
ui.pantry_spell_reforge.message,法术重铸功能开发中。,Spell reforge is not available yet.
ui.pantry_spell_reforge.title,法术重铸,Spell Reforge
ui.room.escape_marker,逃跑,Escape
ui.sell.empty,当前没有可出售物品。,Nothing to sell.
ui.sell.entry,"{name}
售价 {price}",{name}\nSell for {price}
ui.sell.hint,选择一个条目出售。,Choose an entry to sell.
ui.sell.section_equipment,装备,Equipment
ui.sell.section_hex,咒术,Hexes
ui.sell.section_item,物品,Items
ui.sell.title,出售,Sell
ui.settings.percent_100,100%,100%
ui.test_prep.choose_enemies,选择敌人,Choose Enemies
ui.test_prep.choose_enemy_equipments,选择敌方装备,Choose Enemy Equipments
ui.test_prep.choose_enemy_hexes,选择敌方法术,Choose Enemy Hexes
ui.test_prep.choose_equipments,选择装备,Choose Equipments
ui.test_prep.choose_friends,选择伙伴,Choose Friends
ui.test_prep.choose_hexes,选择法术,Choose Hexes
ui.test_prep.custom_dice,自定义骰子,Custom Dice
ui.test_prep.go_to_battle,开始战斗,Go To Battle
ui.test_prep.title,战斗测试准备,Test Battle Prep
trait.ht003.name,haunt echo,haunt echo
trait.ht003.desc,"After haunt resolves, deal 6 extra damage to each affected character if the caster has Stealth.","After haunt resolves, deal 6 extra damage to each affected character if the caster has Stealth."
hex.fh028.name,踏步斩,step strike
hex.fh028.desc,对前排敌人造成5点伤害。前进1。,Deal 5 damage to the front enemy. Advance 1.
trait.et009.name,前线冲动,frontline urge
trait.et009.desc,该敌人受到伤害后，前进1。,"After this enemy takes damage,  advance 1."
trait.et010.name,冲动,impulsive
trait.et010.desc,当该敌人的倒计时被减少时，前进1。,"When this enemy's countdown is reduced, advance 1."
equipment.eq009.name,新鲜的草,Fresh Grass
equipment.eq009.trait_desc.0,处于正面时，持有方的法术与特性恢复效果提升2。,"While face up, the holder's spell and trait healing is increased by 2."
ui.interactive_battle_tutorial.prompt,在探索前，要先来一场教程吗？,"Before exploring, do you want to play a quick tutorial battle?"
ui.interactive_battle_tutorial.accept,是的,Yes
ui.interactive_battle_tutorial.decline,不了,No
ui.interactive_battle_tutorial.continue,点击任意处继续,Click anywhere to continue
ui.interactive_battle_tutorial.result_title,教程奖励,Tutorial Rewards
ui.interactive_battle_tutorial.phase1.0,这是你的骰子盘。上方是你的骰子，下方是敌人的骰子。,"This is your dice tray. Your dice are on top, enemy dice are below."
ui.interactive_battle_tutorial.phase1.1,角色骰会切换当前前排角色。,Character dice change who stands in the front row.
ui.interactive_battle_tutorial.phase1.2,装备骰会切换当前生效的装备。,Equipment dice change the equipment currently supporting your team.
ui.interactive_battle_tutorial.phase1.3,法术骰会切换倒数归零时施放的法术。,"Spell dice change the spell that will be cast when countdown reaches zero."
ui.interactive_battle_tutorial.phase2.0,先点击你的角色骰来投掷。,Start by rolling your character die.
ui.interactive_battle_tutorial.phase2.1,投出的角色会移动到前排，并成为主要受击目标。,"The rolled character moves to the front row and becomes the main target."
ui.interactive_battle_tutorial.phase3.0,每次投掷，所有角色的倒数都会推进。,Every roll advances all countdowns.
ui.interactive_battle_tutorial.phase3.1,倒数归零时，角色会施放当前朝上的法术。,"When countdown reaches zero, that character casts the current face-up spell."
ui.interactive_battle_tutorial.phase4.0,自由投掷你的三颗骰子，让某个角色的倒数接近归零。,"Now freely roll your three dice and push a countdown close to zero."
ui.interactive_battle_tutorial.phase4.1,装备骰投出后会立刻切换当前装备，并改变后续收益。,Rolling the equipment die immediately changes the current equipment.
ui.interactive_battle_tutorial.phase4.2,法术骰投出后会切换即将施放的法术。,Rolling the spell die changes the spell that will be cast next.
ui.interactive_battle_tutorial.phase5.0,有角色的倒数只剩 1 了，马上就会施法。,"A countdown is now at 1. That spell is about to fire."
ui.interactive_battle_tutorial.phase5.1,你现在还能投法术骰，改变即将施放的法术。,"You can still roll the spell die now to change the upcoming spell."
ui.interactive_battle_tutorial.phase6.0,倒数归零后，角色会施放当前法术。,"When countdown reaches zero, the character casts the face-up spell."
ui.interactive_battle_tutorial.phase6.1,继续投掷并击败所有敌人。,Keep rolling and finish off the enemy team.
ui.interactive_battle_tutorial.phase7.0,把鼠标移到骰子或角色上，可以查看更详细的信息。,"Hover dice and characters to inspect more detailed information."
ui.interactive_battle_tutorial.phase8.0,你也可以投掷敌人的角色骰。先试一次。,"You can also roll the enemy character die. Try it once."
ui.interactive_battle_tutorial.phase8.1,投掷敌人骰子同样会改变站位，并推进倒数。,"Enemy dice rolls also change positions and advance countdowns."
ui.interactive_battle_tutorial.phase8.2,现在全部骰子都解锁了。按你的节奏完成这场战斗。,"All dice are unlocked now. Finish the battle at your own pace."
